"Id","Version","ReferenceKind","License","NuGetContentHash","PackageSha256","Repository","RepositoryCommit"
"Microsoft.TestPlatform.ObjectModel","17.14.1","Transitive","MIT","xTP1W6Mi6SWmuxd3a+jj9G9UoC850WGwZUps1Wah9r1ZxgXhdJfj1QqDLJkFjHDCvN42qDL2Ps5KjQYWUU0zcQ==","40c7fa3bec34213fb5e8caf3a3bc27f8ddb47f72f5fe60e1b3faa3984a35ad8b","https://github.com/microsoft/vstest","490850ae3fdc1b470e3804ceab4f6a41cf89ae51"
"NUnit3TestAdapter","5.0.0","Direct","MIT","sy4cLoUAdE6TDM4wNX5gmNCyhMev5wUz4cA6ZRf/aON9vf9t4xTVGLj/4huhDKcS4dFfmVVcgcP70yC7WC9kKg==","ee364ce2a01b2339dedc071d15f31bbdb82882aa71bd57baab64bb2ecf31432d","https://github.com/nunit/nunit3-vs-adapter",
"Microsoft.Testing.Extensions.Telemetry","1.5.3","Transitive","MIT","U9pGd5DQuX1PfkrdFI+xH34JGgQ2nes5QAwIITTk+MQfLvRITqsZjJeHTjpGWh33D/0q1l7aA8/LQHR7UuCgLQ==","6c85f03d26b78e4af66fac4834ea8c52cebfba3febe2854533bc6adee5486435","https://github.com/microsoft/testfx","2a34431d753f39463aadf19674237f6c4e5b6865"
"Microsoft.Testing.Extensions.VSTestBridge","1.5.3","Transitive","MIT","cJD67YfDT98wEWyazKVD/yPVW6+H1usXeuselCnRes7JZBTIYWtrCchcOzOahnmajT79eDKqt9sta7DXwTDU4Q==","5e933fc858e12d2b2ecf20d5fb12ae6ece15d73555622574e44d3e3784b58748","https://github.com/microsoft/testfx","2a34431d753f39463aadf19674237f6c4e5b6865"
"Microsoft.NET.Test.Sdk","17.14.1","Direct","MIT","HJKqKOE+vshXra2aEHpi2TlxYX7Z9VFYkr+E5rwEvHC8eIXiyO+K9kNm8vmNom3e2rA56WqxU+/N9NJlLGXsJQ==","9995330c5bc5a7bc759caadc9d17748616cdbb983c11062df122a74607614ff0","https://github.com/microsoft/vstest","490850ae3fdc1b470e3804ceab4f6a41cf89ae51"
"Microsoft.CodeCoverage","17.14.1","Transitive","MIT","pmTrhfFIoplzFVbhVwUquT+77CbGH+h4/3mBpdmIlYtBi9nAB+kKI6dN3A/nV4DFi3wLLx/BlHIPK+MkbQ6Tpg==","7fc432b46f06bd1a0fe3baced8a1269c32f1229c9eb1aab6e931630dd5b8d06b","https://github.com/microsoft/vstest","490850ae3fdc1b470e3804ceab4f6a41cf89ae51"
"Microsoft.Extensions.Diagnostics.Abstractions","10.0.9","Transitive","MIT","86RgyFsmVslW4Nu28IXgt8tLglynGQrwjk/xhGZaTe8j6YIeR1Ywoc42hSHsBSl920CQdfqq2dBohZiGm3AkUA==","3a80426ad91203e4166cc7f21717ae10e2076f4e2e90f1f7da035f094b1aaf63","https://github.com/dotnet/dotnet","901ca941248413c79832d2fdbd709da0c4386353"
"Microsoft.Extensions.Logging.Abstractions","10.0.9","Transitive","MIT","9S/DFt4cohlMPpzIxjG6kk0L8MuN2vDm9pbMCulxtJzzk82oJHVLBd8vuQxaPskaYQwKqmFmbannf5eoChgjYg==","b2edaafce66e1bb9c1df09d44d57229b2de81d275eb458788619a32377ffca6f","https://github.com/dotnet/dotnet","901ca941248413c79832d2fdbd709da0c4386353"
"Microsoft.Testing.Platform.MSBuild","1.5.3","Transitive","MIT","bOtpRMSPeT5YLQo+NNY8EtdNTphAUcmALjW4ABU7P0rb6yR2XAZau3TzNieLmR3lRuwudguWzzBhgcLRXwZh0A==","62ca6f8c4e497e2e7ced301fb2f7c35495cdac53a4c75077cb508a57a9bb60b6","https://github.com/microsoft/testfx","2a34431d753f39463aadf19674237f6c4e5b6865"
"NUnit","4.6.1","Direct","MIT","xS4+YaBFUv1r8bcAbjitSfYaRZGfMwUiMdiaRziBXZpKgVxKDSHhjUn0mV5mObHGZRZq6eNa+WFWr3g8grj66A==","30b7225b4723f4e3b7809e858ea0ff2a9a744b9c8f62c4e9496b514d81b43efa","https://github.com/nunit/nunit",
